OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Total_Households,Less_than_10000,i10000_to_14999,i15000_to19999,i20000_to_24999,i25000_to_29999,i30000_to_34999,i35000_to_39999,i40000_to_44999,i45000_to_49999,i50000_to_59999,i60000_to_74999,i75000_to_99999,i100000_to_124999,i125000_to_149999,i150000_to_199999,i200000_or_more,Median_Household_Income,TotalFamilies,FamiliesInPoverty,FamilyPovertyRate,SHAPESTArea,SHAPESTLength
2083,37,119,006403,3,371190064033,Block Group 3,0016673,"Block Group 3, Census Tract 64.03, Mecklenburg County, North Carolina",577,9,0,34,8,17,0,16,0,15,19,72,20,43,98,57,169,137757,412,0,0,41387228.4954834,31317.7985715997
2084,37,119,005833,2,371190058332,Block Group 2,0016549,"Block Group 2, Census Tract 58.33, Mecklenburg County, North Carolina",928,0,0,0,9,0,28,17,58,19,59,85,129,128,78,133,185,111019,816,0,0,28978377.7732544,27625.4937043615
2085,37,119,003300,2,371190033002,Block Group 2,0016329,"Block Group 2, Census Tract 33, Mecklenburg County, North Carolina",496,14,24,37,29,0,82,0,36,0,37,90,0,81,18,21,27,54412,188,32,0.17021277,5790616.83276367,9796.50039400052
2086,37,119,001508,2,371190015082,Block Group 2,0016170,"Block Group 2, Census Tract 15.08, Mecklenburg County, North Carolina",1072,9,49,43,14,0,41,32,216,18,162,98,129,112,74,43,32,58621,761,60,0.07884363,26881397.5784912,23269.4368106112
2087,37,119,005913,2,371190059132,Block Group 2,0016600,"Block Group 2, Census Tract 59.13, Mecklenburg County, North Carolina",1022,18,15,15,0,15,44,119,66,55,132,189,75,125,84,48,22,61951,752,30,0.03989362,31425393.3782959,24557.094988513
2088,37,119,005812,1,371190058121,Block Group 1,0016518,"Block Group 1, Census Tract 58.12, Mecklenburg County, North Carolina",1047,47,13,60,0,44,48,52,31,57,27,124,64,92,29,206,153,76424,552,0,0,25083813.3829346,22166.2679555035
2089,37,119,005524,5,371190055245,Block Group 5,0016460,"Block Group 5, Census Tract 55.24, Mecklenburg County, North Carolina",706,132,10,0,0,16,15,38,38,23,134,108,109,14,39,14,16,55566,159,0,0,56785572.3563843,35133.1458482141
2090,37,119,003011,1,371190030111,Block Group 1,0016289,"Block Group 1, Census Tract 30.11, Mecklenburg County, North Carolina",641,0,0,0,0,21,22,0,15,0,51,20,80,125,23,69,215,109855,440,0,0,14071322.0796509,15453.5060299425
2091,37,119,006204,1,371190062041,Block Group 1,0016643,"Block Group 1, Census Tract 62.04, Mecklenburg County, North Carolina",778,18,0,14,11,14,0,34,35,14,25,99,57,42,25,113,277,152600,591,0,0,107832231.701721,46853.0442205361
2092,37,119,001505,1,371190015051,Block Group 1,0016165,"Block Group 1, Census Tract 15.05, Mecklenburg County, North Carolina",1236,76,60,69,51,42,116,124,21,0,117,100,229,125,52,36,18,54643,944,212,0.22457627,56541430.4644775,30277.9145046945
2093,37,119,003006,1,371190030061,Block Group 1,0016279,"Block Group 1, Census Tract 30.06, Mecklenburg County, North Carolina",682,0,0,9,18,11,0,37,10,9,55,63,27,66,51,95,231,140417,516,10,0.01937984,16761885.4160767,19133.085124833
2094,37,119,003103,1,371190031031,Block Group 1,0016310,"Block Group 1, Census Tract 31.03, Mecklenburg County, North Carolina",818,37,37,0,27,52,45,21,21,70,23,62,173,111,0,83,56,80365,205,46,0.22439024,12536437.8546143,18172.118238972
2095,37,119,006211,1,371190062111,Block Group 1,0016653,"Block Group 1, Census Tract 62.11, Mecklenburg County, North Carolina",1275,16,14,8,11,45,13,64,16,41,31,147,97,150,31,109,482,122420,945,49,0.05185185,36885977.8849487,26149.7957154914
2096,37,119,005710,2,371190057102,Block Group 2,0016499,"Block Group 2, Census Tract 57.10, Mecklenburg County, North Carolina",981,51,65,69,91,80,122,54,123,34,100,98,57,26,0,0,11,35579,422,51,0.12085308,10710679.4713135,15828.2996715821
