OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Workers_16_and_older,Drove_alone,Carpool,Public_Transportation,Walked,Other_Means,Non_SOV_Commuters,Pct_Non_SOV_Commuters,SHAPESTArea,SHAPESTLength
2698,37,119,005617,2,371190056172,Block Group 2,0016481,"Block Group 2, Census Tract 56.17, Mecklenburg County, North Carolina",30,30,0,0,0,0,0,0,23861337.7319946,23443.0710661399
2699,37,119,001000,2,371190010002,Block Group 2,0016150,"Block Group 2, Census Tract 10, Mecklenburg County, North Carolina",301,271,40,0,0,10,50,0.16611296,4170230.93395996,8698.57325805559
2700,37,119,005837,3,371190058373,Block Group 3,0016558,"Block Group 3, Census Tract 58.37, Mecklenburg County, North Carolina",638,486,212,46,0,0,258,0.40438871,6818254.42388916,14276.5427528134
2701,37,119,006009,2,371190060092,Block Group 2,0016621,"Block Group 2, Census Tract 60.09, Mecklenburg County, North Carolina",1035,822,362,8,0,24,394,0.38067633,25991633.5639038,27897.734814547
2702,37,119,001300,1,371190013001,Block Group 1,0016157,"Block Group 1, Census Tract 13, Mecklenburg County, North Carolina",1177,966,110,121,17,18,266,0.2259983,19088086.479248,20238.2147849833
2703,37,119,003500,2,371190035002,Block Group 2,0016336,"Block Group 2, Census Tract 35, Mecklenburg County, North Carolina",576,481,62,8,48,8,126,0.21875,9109046.78790283,13949.7384013539
2704,37,119,001918,2,371190019182,Block Group 2,0016218,"Block Group 2, Census Tract 19.18, Mecklenburg County, North Carolina",1072,857,308,61,0,0,369,0.34421642,9017015.5479126,11898.1989830221
2705,37,119,005917,2,371190059172,Block Group 2,0016609,"Block Group 2, Census Tract 59.17, Mecklenburg County, North Carolina",1548,1310,444,16,0,0,460,0.29715762,27647893.3178101,23293.0600801837
2706,37,119,001508,1,371190015081,Block Group 1,0016169,"Block Group 1, Census Tract 15.08, Mecklenburg County, North Carolina",1274,944,548,29,27,0,604,0.47409733,29615063.2480469,24126.0164937004
2707,37,119,005521,2,371190055212,Block Group 2,0016448,"Block Group 2, Census Tract 55.21, Mecklenburg County, North Carolina",1242,1123,110,64,0,0,174,0.14009662,30069292.7694702,23800.5100393606
2708,37,119,002003,2,371190020032,Block Group 2,0016236,"Block Group 2, Census Tract 20.03, Mecklenburg County, North Carolina",296,241,110,0,0,0,110,0.37162162,10161599.5529175,17173.3669583781
2709,37,119,006008,1,371190060081,Block Group 1,0016618,"Block Group 1, Census Tract 60.08, Mecklenburg County, North Carolina",1042,843,342,0,0,28,370,0.35508637,26275044.5452271,34405.0334569464
2710,37,119,005828,2,371190058282,Block Group 2,0016538,"Block Group 2, Census Tract 58.28, Mecklenburg County, North Carolina",175,167,16,0,0,0,16,0.09142857,4531729.15582275,9936.86161954841
2711,37,119,006107,2,371190061072,Block Group 2,0016636,"Block Group 2, Census Tract 61.07, Mecklenburg County, North Carolina",1559,1419,88,66,0,30,184,0.11802437,22174641.4936523,18151.1281863953
2712,37,119,001606,1,371190016061,Block Group 1,0016179,"Block Group 1, Census Tract 16.06, Mecklenburg County, North Carolina",1531,833,812,223,33,36,1104,0.72109732,14066482.1983032,18037.7033276406
2713,37,119,006404,1,371190064041,Block Group 1,0016674,"Block Group 1, Census Tract 64.04, Mecklenburg County, North Carolina",793,647,44,0,89,35,168,0.21185372,121471572.00647,51184.1721357402
